my_name,my_value
model_lstm0_output_225k_plus_3000.pth, 29.507866338173695
model_lstm0_output_225k_plus_4000.pth, 28.41602009100099
model_lstm0_output_225k_plus_5000.pth, 28.756635191896994
model_lstm0_output_225k_plus_6000.pth, 31.115144329492455
model_lstm0_output_225k_plus_7000.pth, 28.75435417665943
model_lstm0_output_225k_plus_8000.pth, 29.867609777876584
model_lstm0_output_225k_plus_9000.pth, 29.74272632970151
model_lstm0_output_225k_plus_10000.pth, 28.617780981533045
model_lstm0_output_225k_plus_11000.pth, 28.52830099030812
model_lstm0_output_225k_plus_12000.pth, 44.491588884507664
